Country Code,Country Name,Year,Last_Known_ECI,Ensemble,ECI_std,LASSO,Ridge,Elastic Net,RF
MNG,Mongolia,2029,-1.332,-0.24935216359261286,0.3885113208802029,-0.33731593871997,0.32566283407078567,-0.22197662513171573,-0.7637789245895514
MNG,Mongolia,2030,-1.332,-0.19153586099047057,0.41223737108355835,-0.29463148289412194,0.43228269072728,-0.18319291308344726,-0.720601738711593
MRT,Mauritania,2020,-1.621,-1.5273250211068157,0.02851360069699305,-1.5073654176642495,-1.5762288387574404,-1.5082027107610338,-1.517503117244539
MRT,Mauritania,2021,-1.621,-1.4610085389500571,0.054798344819834775,-1.4093054805941807,-1.5451661296629775,-1.4153782140296094,-1.4741843315134604
MRT,Mauritania,2022,-1.621,-1.4127443688139925,0.08429777466972933,-1.324351135160459,-1.5251018574145356,-1.3387148904738235,-1.462809592207152
MRT,Mauritania,2023,-1.621,-1.369896999461397,0.1105884458899995,-1.2504247476165498,-1.5138615805253175,-1.2751285324106876,-1.440173137293034
MRT,Mauritania,2024,-1.621,-1.3363925002665253,0.13616519954170628,-1.1857780521761374,-1.5097005871570237,-1.2221235241442194,-1.427967837588721
MRT,Mauritania,2025,-1.621,-1.3107697724122684,0.16129017142572522,-1.1289399362022152,-1.5112189686815376,-1.177680514728507,-1.4252396700368137
MRT,Mauritania,2026,-1.621,-1.2884170511133863,0.183730503097368,-1.078672503027296,-1.5172934770506399,-1.1401655273259625,-1.417536697049647
MRT,Mauritania,2027,-1.621,-1.269343659376714,0.20434997925543372,-1.0339341001491662,-1.5270228490300815,-1.1082564141884799,-1.4081612741391283
MRT,Mauritania,2028,-1.621,-1.2563645544553736,0.22577848367800185,-0.9938482085789107,-1.539683935873959,-1.0808833470127375,-1.4110427263558876
MRT,Mauritania,2029,-1.621,-1.2469096159066961,0.24682274870709792,-0.9576772641708127,-1.5546965029861752,-1.0571806641506891,-1.418084032319108
MRT,Mauritania,2030,-1.621,-1.2377318887127962,0.2657219778050487,-0.9248006290654227,-1.5715949861402616,-1.0364479073263921,-1.418084032319108
MYS,Malaysia,2020,1.209,1.054830803450721,0.017954470019994673,1.0806714821981136,1.0505298097233804,1.0576850890640914,1.0304368328172984
MYS,Malaysia,2021,1.209,0.9609713951363958,0.04236021444471824,0.9718435360381058,0.9150046655647495,0.9319859465962954,1.025051432346433
MYS,Malaysia,2022,1.209,0.8823437445721922,0.08741953237502627,0.8794247294927852,0.7978847719973001,0.8270140444522505,1.025051432346433
MYS,Malaysia,2023,1.209,0.8150516137592161,0.1268866193021682,0.8008137162695866,0.6955275223805815,0.7388137840402633,1.025051432346433
MYS,Malaysia,2024,1.209,0.7570169049708642,0.16132609668088718,0.7338215423580966,0.6050101896757418,0.6641844555031855,1.025051432346433
MYS,Malaysia,2025,1.209,0.7062850669270637,0.19121012189427547,0.6766062693461162,0.5239876583688594,0.6005361743135129,1.0240101656797664
MYS,Malaysia,2026,1.209,0.6619949277769133,0.21819788873300322,0.6276179619229026,0.45057827249256954,0.5457733110124146,1.0240101656797664
MYS,Malaysia,2027,1.209,0.6210391535684586,0.2396722868896316,0.5855523965315889,0.38327224322900677,0.49820016728512884,1.0171318072281101
MYS,Malaysia,2028,1.209,0.5821941861158004,0.25571640240583227,0.5493121086041387,0.3208581576981945,0.45644465286895686,1.0021618252919118
MYS,Malaysia,2029,1.209,0.5489687945321206,0.273795077266392,0.5179736149909414,0.2623640116380743,0.41939652800449967,0.9961410234949668
