model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M2_2wayFE_twoway_cluster,Trade (% of GDP),0.0002464710611281534,0.0008737789090258924,0.28207485736057036,0.7778879677188042,31450.23238418029,0.011277635823520076,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,Urban population (% of total population),-0.017931626860139754,0.023800583989929482,-0.7534112132595988,0.4512039125185603,166406.90991539723,0.004902801582804208,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,log_GFCF,0.05068482913182267,0.044633211713625616,1.1355855244526267,0.2561711444866903,6625.784882937025,0.02457034925624568,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,log_HCI,0.12811531090803102,0.4969343714002292,0.2578113293854801,0.7965525347560667,3698105.8630561056,0.0010400167312111486,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,log_Pop,0.1200391511330646,0.13706661856181948,0.8757723243819925,0.3811539964474302,1180731.3058888607,0.0018405789740351933,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,post2019_x_base_metals_share,-0.2714765356198895,0.17163490144802535,-1.5817093920265295,0.11371605100262405,2563837.010184489,0.0012490642816676523,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,post2019_x_hydrocarbon_share,-0.13559138434331594,0.09734678244529177,-1.3928697070138643,0.1636594050572926,1470000.6432213273,0.001649571836786798,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,post2019_x_ores_share,-0.3058469779174666,0.1705096028604424,-1.793722891770467,0.07285741640257859,44586457.091783695,0.00029952185287270537,5,1861,73,0.15873484758733877
M2_2wayFE_twoway_cluster,wide_resource_share,-0.43267549960319956,0.11842263425894789,-3.653655420779555,0.0002585486048742869,855702.680704469,0.0021620640193751248,5,1861,73,0.15873484758733877
M3_parsim_interact,Political stability — estimate,0.02779815012466247,0.02799307308143012,0.9930367431899801,0.32069204966482223,271540964.43608105,0.00012137026986372247,5,2468,96,0.09222953776335477
M3_parsim_interact,Rule of law index,-0.019245248296768894,0.09995370218847563,-0.1925416255265812,0.8473179656462828,143138609.79075265,0.00016716740400599163,5,2468,96,0.09222953776335477
M3_parsim_interact,Trade (% of GDP),0.0005521648366985419,0.0007050463615549422,0.7831610328160148,0.4335331456259206,313723.0842535682,0.0035707279061498363,5,2468,96,0.09222953776335477
M3_parsim_interact,log_GFCF,0.04931660698321276,0.043554905066583,1.1322859482260783,0.25751863317555457,61740.63412895997,0.00804904680466604,5,2468,96,0.09222953776335477
M3_parsim_interact,log_GFCF_x_wide_share,-0.11241641442007082,0.13360138395215887,-0.8414315113706147,0.40010630348720655,3094465.990654021,0.00113693893320045,5,2468,96,0.09222953776335477
M3_parsim_interact,log_HCI,0.5431493196641426,0.46468477431258864,1.1688554256326282,0.24246188611432773,254083890.54766697,0.00012547044269064597,5,2468,96,0.09222953776335477
M3_parsim_interact,log_HCI_x_wide_share,-1.155246059049834,0.5302488792907797,-2.1786864700119737,0.029354967986280567,532634653.34891224,8.665932191867975e-05,5,2468,96,0.09222953776335477
M3_parsim_interact,post2019_x_base_metals_share,-0.28973782219029076,0.22618435253419994,-1.28098084126523,0.20020039569175063,2761152695.0180736,3.806140216960777e-05,5,2468,96,0.09222953776335477
M3_parsim_interact,post2019_x_hydrocarbon_share,-0.01216443694198401,0.08981328735786748,-0.13544139514138862,0.8922628971626534,254605204.5596927,0.00012534192407606082,5,2468,96,0.09222953776335477
M3_parsim_interact,post2019_x_ores_share,-0.19612563231540067,0.20791249504114848,-0.9433085408194681,0.3455231090848687,418747143.7781335,9.773588880547257e-05,5,2468,96,0.09222953776335477
M3_parsim_interact,wide_resource_share,-0.5659106258328535,0.14177981031690845,-3.9914754051928916,6.566350489700667e-05,827583684.7964609,6.952228465135e-05,5,2468,96,0.09222953776335477
M4_pooled_OLS,Agriculture,0.004259139246373461,0.009417815442163366,0.4522428022219869,0.6510966639943789,37910.171917697495,0.010271931597944288,5,1861,73,0.7189332780357175
M4_pooled_OLS,Domestic credit to private sector (% of GDP),0.0011794127211766114,0.001357466231247405,0.8688339304712012,0.38494418983165346,33532.147893519876,0.010921927998903626,5,1861,73,0.7189332780357175
M4_pooled_OLS,Government revenue,0.019963459244128946,0.004123850946696355,4.840974977556308,1.2920997805032641e-06,3035342.0795023995,0.001147958463604344,5,1861,73,0.7189332780357175
M4_pooled_OLS,Industry,-0.004580797335627435,0.007360061769215447,-0.6223857189334064,0.5336986184500456,13711.295178399876,0.017080113622136052,5,1861,73,0.7189332780357175
M4_pooled_OLS,"Inflation, consumer prices (annual %)",0.0004978210955584679,0.0010053662954626385,0.49516389976987046,0.6204847533226561,337459.1739955785,0.0034428601039958886,5,1861,73,0.7189332780357175
M4_pooled_OLS,Manufacturing,0.04750873915652308,0.008723725729072276,5.445923064522501,5.1542641488211416e-08,2310835.2948844954,0.001315665539407396,5,1861,73,0.7189332780357175
M4_pooled_OLS,Political corruption index,-0.33605192229467107,0.369413580396737,-0.909690222903455,0.36298590897938476,30718462.025758736,0.0003608529512755851,5,1861,73,0.7189332780357175
M4_pooled_OLS,Political stability — estimate,0.00743036788324839,0.05515081402532173,0.13472816339278038,0.8928268135473041,3184825.340622709,0.001120694358162041,5,1861,73,0.7189332780357175
M4_pooled_OLS,"Primary net lending, General government, Percent of GDP",0.005220006654908971,0.006140391891671373,0.8501096912054127,0.3952791999221543,13482.419767127561,0.01722447816775261,5,1861,73,0.7189332780357175
M4_pooled_OLS,Real interest rate (%),-0.0032226524923733083,0.002667280937966005,-1.208216369900208,0.22696544027294774,205023.27917692027,0.004417010258983283,5,1861,73,0.7189332780357175
M4_pooled_OLS,Rule of law index,0.13993548252526716,0.3787227680120953,0.3694931869551556,0.7117601555919475,15327058.750859471,0.0005108584538300046,5,1861,73,0.7189332780357175
M4_pooled_OLS,Services,0.019604429411355685,0.007805655798666704,2.5115672426529936,0.012040755161148997,7402.595446836898,0.023245451597103974,5,1861,73,0.7189332780357175
M4_pooled_OLS,Trade (% of GDP),0.0009809714256059367,0.0013671384401239982,0.717536276367859,0.4730433659811031,1597889.9278117896,0.001582182461534461,5,1861,73,0.7189332780357175
M4_pooled_OLS,Urban population (% of total population),-0.06028545593227387,0.01008706987965163,-5.976508208185022,2.309777924480727e-09,25666.466951019836,0.012483804247787906,5,1861,73,0.7189332780357175
M4_pooled_OLS,log_GFCF,0.08109313780528371,0.0652111131810339,1.243547822595198,0.21366608799777165,5011396.49603189,0.0008934095966281072,5,1861,73,0.7189332780357175
M4_pooled_OLS,log_HCI,1.4326763483337406,0.35998090606664856,3.9798676101684354,6.895365922177099e-05,2837435809.0484905,3.754628505233819e-05,5,1861,73,0.7189332780357175
M4_pooled_OLS,log_Pop,0.11606072992939749,0.04425744714519557,2.622400012107265,0.00873133407026283,2896651.7494957405,0.0011751190130249035,5,1861,73,0.7189332780357175
M4_pooled_OLS,post2019_x_base_metals_share,-0.9852381961617803,0.41696392397689536,-2.362885946498273,0.018133249908256044,290953710.13458586,0.00011725140241310115,5,1861,73,0.7189332780357175
M4_pooled_OLS,post2019_x_hydrocarbon_share,-0.12059373512129043,0.14635545546892298,-0.8239784074663157,0.409951990487198,1201874.7569970142,0.0018243173512930736,5,1861,73,0.7189332780357175
M4_pooled_OLS,post2019_x_ores_share,-0.5100164363176031,0.35931152856606485,-1.4194268643507464,0.1557746913944682,3605637.62912731,0.00105326816278138,5,1861,73,0.7189332780357175
M4_pooled_OLS,wide_resource_share,-0.07564762734879267,0.23254142139149092,-0.3253081833598904,0.7449478397178768,39322615.51641984,0.0003189398584941566,5,1861,73,0.7189332780357175
M5_observed_only,log_Pop,0.01891521410224909,0.20918205294369502,0.09042465085348622,0.9279641860465031,,,1,1378,73,0.18918699050477628
M5_observed_only,Trade (% of GDP),-0.0002300523509803607,0.0009480881986376669,-0.24264868111524754,0.8083171831063765,,,1,1378,73,0.18918699050477628
M5_observed_only,log_HCI,-0.1147691434990271,0.5681922241299528,-0.20198999321887573,0.8399572574155538,,,1,1378,73,0.18918699050477628
M5_observed_only,log_GFCF,0.08217916703497637,0.06416866460663699,1.2806744154447705,0.20054448564210237,,,1,1378,73,0.18918699050477628
M5_observed_only,Domestic credit to private sector (% of GDP),0.0009368050097168559,0.0013460175450901181,0.6959827627314733,0.4865683867588251,,,1,1378,73,0.18918699050477628
M5_observed_only,Agriculture,0.0008611835267800443,0.006175269974240135,0.13945682219116462,0.8891115311282143,,,1,1378,73,0.18918699050477628
M5_observed_only,Industry,-0.01046606233974447,0.005299277559943435,-1.9749979542223084,0.04848707742465752,,,1,1378,73,0.18918699050477628
M5_observed_only,Manufacturing,0.013519939374247388,0.005234470482262813,2.582866675829041,0.009910581751385372,,,1,1378,73,0.18918699050477628
M5_observed_only,Services,-0.0006673084321893645,0.004266425547225326,-0.15640925285180454,0.8757355800470406,,,1,1378,73,0.18918699050477628
M5_observed_only,Urban population (% of total population),1.0384519279337202e-09,2.6830437376028445e-10,3.8704248960977474,0.00011422934585381128,,,1,1378,73,0.18918699050477628
M5_observed_only,Political stability — estimate,0.025636679135814133,0.031909002006289766,0.803430929327114,0.4218777222258483,,,1,1378,73,0.18918699050477628
M5_observed_only,Rule of law index,-0.5420953554898352,0.2267845819367817,-2.390353660113232,0.01697878719946111,,,1,1378,73,0.18918699050477628
M5_observed_only,Political corruption index,-0.806973000311897,0.2515649545027414,-3.207811683892969,0.0013712568371291312,,,1,1378,73,0.18918699050477628
M5_observed_only,"Inflation, consumer prices (annual %)",0.0001350558810860759,0.000309985962178725,0.43568386173632045,0.6631409803794108,,,1,1378,73,0.18918699050477628
M5_observed_only,Real interest rate (%),0.0015338816956299048,0.0013162253082243931,1.165364080181024,0.24409291657681753,,,1,1378,73,0.18918699050477628
M5_observed_only,Government revenue,-0.005787906356720079,0.004109148218383027,-1.4085416366406107,0.15921823672561208,,,1,1378,73,0.18918699050477628
M5_observed_only,"Primary net lending, General government, Percent of GDP",0.007548082358935879,0.0040390827480087585,1.8687615059773246,0.061888620696889385,,,1,1378,73,0.18918699050477628
M5_observed_only,wide_resource_share,-0.47677887983655737,0.13415794865486963,-3.5538623288218516,0.0003936994711779551,,,1,1378,73,0.18918699050477628
M5_observed_only,post2019_x_hydrocarbon_share,-0.07218687408818288,0.11564545566271471,-0.6242084799139813,0.5326040365834115,,,1,1378,73,0.18918699050477628
M5_observed_only,post2019_x_ores_share,-0.39712215372745663,0.16832279488431026,-2.359289209761531,0.01846234434634586,,,1,1378,73,0.18918699050477628
M5_observed_only,post2019_x_base_metals_share,-0.07451073369565446,0.1305768179632653,-0.5706275804378713,0.5683541884162668,,,1,1378,73,0.18918699050477628
