model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M2_2wayFE_twoway_cluster,Trade (% of GDP),0.0009410379846115932,0.0008060543108343787,1.1674622565289523,0.24302707670565926,83477.41009322254,0.006922221826750534,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,Urban population (% of total population),-0.09387117478237725,0.027522549175216838,-3.4107005926218927,0.0006480531493355812,280890.13071891473,0.0037736511989169387,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,log_GDPpc,0.48628074470027044,0.09518020818188283,5.109053173859647,3.2377771086444795e-07,123503061.35337654,0.0001799662777523395,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,log_GFCF,-0.003558901629549034,0.044685172770707916,-0.07964390442912128,0.93652275386336,6994.469442496358,0.023914021044003198,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,log_HCI,0.28791972800654697,0.46611313333183607,0.617703530360666,0.5367708046772606,6939524.308014785,0.0007592156381007615,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,log_Pop,0.29824720700460794,0.1433503303842023,2.0805477476421346,0.03747544717000828,2010840.3097320898,0.0014103964441513665,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,post2019_x_base_metals_share,-0.09651639679552286,0.17003163752608755,-0.5676378713974014,0.5702809360592784,2551626.684682637,0.0012520492949733126,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,post2019_x_coal_share,-0.37167621505205195,0.21491690220314996,-1.7293949951908643,0.08373951896203469,282126.4265545196,0.0037653739320331198,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,post2019_x_crude_oil_share,0.0023244942869459244,0.1383476271595741,0.016801837043903804,0.9865947223602647,186170.61933179063,0.004635263462249887,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,post2019_x_gas_share,-0.025105581946398288,0.28897168652526084,-0.08687903734888452,0.9307676800460758,979008.1177860219,0.002021328266206415,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,post2019_x_ores_share,-0.3797858746235431,0.20172388216134698,-1.8827015946469583,0.05974090296161938,3463765.0137108862,0.0010746221427824208,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,post2019_x_refined_oil_share,0.031363958847957146,0.11747549917731992,0.2669829800051817,0.7894823961912096,421524.4936587689,0.003080481379522028,5,1839,73,0.21437231368182186
M2_2wayFE_twoway_cluster,wide_resource_share_net,-0.1347148018343487,0.05385443355251867,-2.5014616800857308,0.012368184124284198,107067197.84659477,0.00019328661367075623,5,1839,73,0.21437231368182186
M3_parsim_interact,Political stability — estimate,-0.009731046167856614,0.027851724545502627,-0.34938756312768215,0.7267983689541775,3485817056.0405912,3.387487492700239e-05,5,2430,96,0.10096033322395052
M3_parsim_interact,Rule of law index,0.052569382370829906,0.0992259214662772,0.5297948519298565,0.5962541750108394,1921811009.287761,4.562203540249558e-05,5,2430,96,0.10096033322395052
M3_parsim_interact,Trade (% of GDP),0.0009352252253384205,0.0006990285355598736,1.337892772273409,0.18093204110635197,469860.15920778125,0.00291773392418953,5,2430,96,0.10096033322395052
M3_parsim_interact,log_GDPpc,0.3278335470446521,0.09419892842576312,3.4802258637476244,0.0005009914337774646,107130592.95708044,0.00019322941600580717,5,2430,96,0.10096033322395052
M3_parsim_interact,log_GFCF,-0.04066287889414098,0.04602910203097903,-0.8834167320225711,0.377012439265493,165209.1988673201,0.004920541319175162,5,2430,96,0.10096033322395052
M3_parsim_interact,log_GFCF_x_wide_share,0.0970554771758204,0.03488920169416452,2.7818199460853146,0.005405511253063544,10978740.22238784,0.0006036062683105884,5,2430,96,0.10096033322395052
