Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
GUY,Guyana,Diverse Resource Exporters,,Unlabeled_4,Oil Exporters,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Mining Specialists,Unlabeled_0,,,1.0,1.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Mining Specialists,Unlabeled_4,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",Unlabeled_4,,Petrostates,,1.0,,1.0,,True,2.0,1.0,,,1.0,1.0,,,2.0,1.0,,,3.0,1.0,,,1.0,1.0,,,2.0,1.0,,
IRQ,Iraq,Petrostates,,Petrostates,,1.0,,1.0,,True,2.0,1.0,,,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,2.0,1.0,,
JAM,Jamaica,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,Unlabeled_4,Mining Specialists,Petrostates,Oil Exporters,1.0,1.0,1.0,1.0,True,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
KEN,Kenya,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,Mining Specialists,Unlabeled_0,Mining Specialists,,1.0,1.0,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,Petrostates,,Petrostates,Petrostates,1.0,,1.0,1.0,True,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,4.0,1.0
KGZ,Kyrgyz Republic,Diverse Resource Exporters,Unlabeled_0,Unlabeled_4,Unlabeled_0,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,True,0.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,1.0,4.0,1.0,,,0.0,1.0,2.0,1.0
LVA,Latvia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,Mining Specialists,,Mining Specialists,Unlabeled_0,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,Mining Specialists,,,Mining Specialists,1.0,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,Petrostates,,Petrostates,,1.0,,1.0,,True,2.0,1.0,,,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,2.0,1.0,,
LTU,Lithuania,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,Diverse Resource Exporters,,Unlabeled_4,Unlabeled_3,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,Diverse Resource Exporters,,Unlabeled_0,Unlabeled_0,1.0,,1.0,1.0,True,0.0,1.0,,,2.0,1.0,0.0,1.0,0.0,1.0,,,2.0,1.0,2.0,1.0,0.0,1.0,,,0.0,1.0,0.0,1.0
