Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Botswana,BWA,1995.0,-3.365732726297185,2.355524362954497,4,Mining Exporters,"<b>Botswana</b><br>Cluster: 4<br><br>Top Resources:<br>  Copper: $62,406,050<br>  Coal: $35,370,836"
Brazil,BRA,1995.0,0.6505112331877513,1.6502253562325664,1,Major Producers,"<b>Brazil</b><br>Cluster: 1<br><br>Top Resources:<br>  Iron ore: $4,534,416,194<br>  Oil: $4,440,306,873<br>  Aluminium: $2,399,962,000"
Burkina Faso,BFA,1995.0,-3.1406067233019597,-1.0421176770996443,0,Forestry Intensive,"<b>Burkina Faso</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $16,876,400"
Cameroon,CMR,1995.0,0.5613611208220988,-1.208596852582819,3,Oil Exporters,"<b>Cameroon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $675,662,282<br>  Aluminium: $160,186,000<br>  Gold: $6,944,000"
China,CHN,1995.0,-0.3901740489594554,2.4198113790388764,1,Major Producers,"<b>China</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $53,574,267,041<br>  Oil: $18,587,601,698<br>  Iron ore: $4,207,190,283"
Colombia,COL,1995.0,1.589446260972024,1.639423065980877,1,Major Producers,"<b>Colombia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $3,670,753,059<br>  Coal: $1,018,505,645<br>  Gold: $262,446,000"
"Congo, Dem. Rep.",COD,1995.0,-1.830075143399894,-0.7200021699051916,0,Forestry Intensive,"<b>Congo, Dem. Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $189,685,929<br>  Copper: $106,621,900<br>  Cobalt: $97,361,000"
"Congo, Rep.",COG,1995.0,1.7645874102842445,-1.81554380964214,3,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1,116,470,481"
Cote d'Ivoire,CIV,1995.0,-1.8179736046798236,-1.1425095940476218,0,Forestry Intensive,"<b>Cote d'Ivoire</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $61,184,973<br>  Gold: $24,056,000"
Dominican Republic,DOM,1995.0,-3.171924519743607,-0.6266747810941407,0,Forestry Intensive,"<b>Dominican Republic</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $40,771,200<br>  Silver: $3,496,956"
Ecuador,ECU,1995.0,1.151955069929918,-0.8521624684636357,3,Oil Exporters,"<b>Ecuador</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,453,379,794<br>  Gold: $91,884,000"
"Egypt, Arab Rep.",EGY,1995.0,2.2547891193710496,-1.1508790207253052,3,Oil Exporters,"<b>Egypt, Arab Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $5,736,006,212<br>  Natural Gas: $743,152,564<br>  Aluminium: $363,600,000"
Equatorial Guinea,GNQ,1995.0,0.4170208001266505,-1.7141515000970444,3,Oil Exporters,"<b>Equatorial Guinea</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $43,477,617"
Eswatini,SWZ,1995.0,-3.189391480363192,-0.177279477287134,0,Forestry Intensive,"<b>Eswatini</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $6,758,777"
Ethiopia,ETH,1995.0,-3.111351986763096,-1.3535157649094411,0,Forestry Intensive,"<b>Ethiopia</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $14,669,200"
Gabon,GAB,1995.0,3.0708233474181768,-1.5037057568739454,3,Oil Exporters,"<b>Gabon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,208,703,083<br>  Manganese: $485,229,279"
Ghana,GHA,1995.0,-1.9026873287445736,0.5042131473864783,0,Forestry Intensive,"<b>Ghana</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $636,492,000<br>  Aluminium: $273,508,000<br>  Manganese: $109,046,150"
Guatemala,GTM,1995.0,-1.554611055416238,-1.5658038741620288,0,Forestry Intensive,"<b>Guatemala</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $59,395,719"
Guinea,GIN,1995.0,-3.2880919613126514,-0.1747624670415946,0,Forestry Intensive,"<b>Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Bauxite: $416,736,122<br>  Gold: $97,488,800"
Honduras,HND,1995.0,-3.068683120283217,-0.855971697063914,0,Forestry Intensive,"<b>Honduras</b><br>Cluster: 0<br><br>Top Resources:<br>  Zinc: $33,353,910<br>  Silver: $5,013,532<br>  Lead: $2,296,113"
