iter,feature,short,coef
15,Trade (% of GDP),Trade,0.0
15,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
15,Share of investment in GDP,Investment Share,0.0
15,Domestic credit to private sector (% of GDP),Domestic Credit,0.02564413728644148
15,Landlocked,Landlocked,-0.005080229016840838
15,Urban population (% of total population),Urban Population,0.006909781871489529
15,Government revenue,Gov Revenue,-0.0
15,Capital depreciation rate,Depreciation,-0.006167422951045914
15,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
15,Real interest rate (%),Real Rate,0.0
15,"Inflation, consumer prices (annual %)",Inflation,0.0
15,Access to electricity (% of population),Electricity,0.031357497244530484
15,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.002776546241608703
15,L1_ECI,Lagged ECI,0.5771484767795336
15,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
15,HCI_x_ProductionValue,HC × Production,-0.0
15,GFCF_x_ProductionValue,GFCF × Production,0.0
16,Total_Production_Value_Per_Capita,Production Value,-0.0
16,Human capital index,Human Capital,0.0
16,Rule of law index,Rule of Law,0.0
16,Political stability — estimate,Political Stability,0.0
16,Trade (% of GDP),Trade,0.0
16,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
16,Share of investment in GDP,Investment Share,0.0
16,Domestic credit to private sector (% of GDP),Domestic Credit,0.07787357378412153
16,Landlocked,Landlocked,0.0
16,Urban population (% of total population),Urban Population,0.012127114913269116
16,Government revenue,Gov Revenue,-0.007858530151420424
16,Capital depreciation rate,Depreciation,-0.0
16,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
16,Real interest rate (%),Real Rate,0.01644434017569551
16,"Inflation, consumer prices (annual %)",Inflation,-0.004322613181383744
16,Access to electricity (% of population),Electricity,0.04847130434383851
16,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.018267984954850575
16,L1_ECI,Lagged ECI,0.5405447895885758
16,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
16,HCI_x_ProductionValue,HC × Production,0.0
16,GFCF_x_ProductionValue,GFCF × Production,-0.0
17,Total_Production_Value_Per_Capita,Production Value,-0.0
17,Human capital index,Human Capital,-0.0
17,Rule of law index,Rule of Law,-0.0
17,Political stability — estimate,Political Stability,-0.0
17,Trade (% of GDP),Trade,-0.0
17,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
17,Share of investment in GDP,Investment Share,0.0
17,Domestic credit to private sector (% of GDP),Domestic Credit,0.026579398261838555
17,Landlocked,Landlocked,-0.024620859671928605
17,Urban population (% of total population),Urban Population,0.014402524998675855
17,Government revenue,Gov Revenue,-0.008741826579148857
17,Capital depreciation rate,Depreciation,-0.0
17,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
17,Real interest rate (%),Real Rate,0.02280729113373501
17,"Inflation, consumer prices (annual %)",Inflation,-0.007357809022887353
17,Access to electricity (% of population),Electricity,0.06470747112975504
17,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.00958851548203907
17,L1_ECI,Lagged ECI,0.6531214519942269
17,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
17,HCI_x_ProductionValue,HC × Production,-0.0
17,GFCF_x_ProductionValue,GFCF × Production,0.0
18,Total_Production_Value_Per_Capita,Production Value,-0.0
18,Human capital index,Human Capital,0.008606637625383256
18,Rule of law index,Rule of Law,0.009647353283928845
18,Political stability — estimate,Political Stability,0.0
18,Trade (% of GDP),Trade,-0.0
18,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
18,Share of investment in GDP,Investment Share,0.0
18,Domestic credit to private sector (% of GDP),Domestic Credit,0.07093243709016442
18,Landlocked,Landlocked,-0.0
18,Urban population (% of total population),Urban Population,0.010726056250206405
18,Government revenue,Gov Revenue,-0.0
18,Capital depreciation rate,Depreciation,-0.008907595064785667
18,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
18,Real interest rate (%),Real Rate,0.0
18,"Inflation, consumer prices (annual %)",Inflation,-0.0053392239086467235
18,Access to electricity (% of population),Electricity,0.05513865295566631
18,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.011146635658994325
18,L1_ECI,Lagged ECI,0.6030669958351588
18,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
18,HCI_x_ProductionValue,HC × Production,0.0
18,GFCF_x_ProductionValue,GFCF × Production,-0.0
19,Total_Production_Value_Per_Capita,Production Value,-0.0
19,Human capital index,Human Capital,0.0
19,Rule of law index,Rule of Law,0.008102902032752636
19,Political stability — estimate,Political Stability,0.0
19,Trade (% of GDP),Trade,-0.0
19,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
19,Share of investment in GDP,Investment Share,0.0
19,Domestic credit to private sector (% of GDP),Domestic Credit,0.040644946775276206
19,Landlocked,Landlocked,-0.0
19,Urban population (% of total population),Urban Population,0.005678221747873255
19,Government revenue,Gov Revenue,-0.0
19,Capital depreciation rate,Depreciation,-0.0006074967797201723
19,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
19,Real interest rate (%),Real Rate,0.0
19,"Inflation, consumer prices (annual %)",Inflation,-0.0
19,Access to electricity (% of population),Electricity,0.03434616232527018
19,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
19,L1_ECI,Lagged ECI,0.6956075968758691
19,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
19,HCI_x_ProductionValue,HC × Production,0.0
19,GFCF_x_ProductionValue,GFCF × Production,-0.0
20,Total_Production_Value_Per_Capita,Production Value,-0.0
20,Human capital index,Human Capital,0.0
20,Rule of law index,Rule of Law,0.0
20,Political stability — estimate,Political Stability,0.0
20,Trade (% of GDP),Trade,-0.0
20,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
20,Share of investment in GDP,Investment Share,0.0
20,Domestic credit to private sector (% of GDP),Domestic Credit,0.08296485215035991
20,Landlocked,Landlocked,-0.0
20,Urban population (% of total population),Urban Population,0.005454757055108222
20,Government revenue,Gov Revenue,-0.0
20,Capital depreciation rate,Depreciation,-0.0
20,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
20,Real interest rate (%),Real Rate,0.0
20,"Inflation, consumer prices (annual %)",Inflation,-0.0
20,Access to electricity (% of population),Electricity,0.0
20,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
20,L1_ECI,Lagged ECI,0.5349574229147824
20,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
