Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
BGD,2012,Natural Gas,7092139268.339868,Bangladesh,155070101.0,4014.776,45.73505287353793,1.1391682343806464
BHR,2012,Natural Gas,4338411991.546606,Bahrain,1208964.0,48424.648,3588.536955233246,7.41055867919421
BOL,2012,Natural Gas,5604058184.831159,Bolivia,10515807.0,7100.323,532.9175578090353,7.505539646703893
BRA,2012,Natural Gas,6592402061.357341,Brazil,196876111.0,16002.727,33.485027857734046,0.20924576078648377
BRN,2012,Natural Gas,4072301340.242736,Brunei Darussalam,405557.0,69140.573,10041.255212566262,14.522956314762189
CAN,2012,Natural Gas,49961167018.175285,Canada,34713395.0,41950.15209182147,1439.247501380239,3.4308516885230373
CHN,2012,Natural Gas,37055102644.65303,China,1354190000.0,15966.499284642689,27.36329661617131,0.17137943721007515
COL,2012,Natural Gas,3831103705.880598,Colombia,45715810.0,22404.40027696244,83.80259927321856,0.37404526895276674
DEU,2012,Natural Gas,3144942504.273704,Germany,80425823.0,48729.261219387015,39.103640932262564,0.08024673461847011
DNK,2012,Natural Gas,1991461983.253286,Denmark,5591572.0,51387.85230825263,356.1542234014488,0.6930708472987734
DZA,2012,Natural Gas,26074555606.073418,Algeria,37646166.0,12448.28,692.6218092454201,5.563996064078089
EGY,2012,Natural Gas,19477925789.553616,"Egypt, Arab Rep.",93161001.0,7383.065790374987,209.0781075823092,2.83186028024938
GBR,2012,Natural Gas,13027475847.617125,United Kingdom,63711000.0,50076.98165021504,204.47765452774442,0.4083266358903369
IDN,2012,Natural Gas,31325531924.110783,Indonesia,252698525.0,5178.889755565268,123.9640473726975,2.3936413637591905
IND,2012,Natural Gas,12387754510.918856,India,1278674502.0,14009.518089412457,9.687965538956885,0.06915273942419518
IRN,2012,Natural Gas,52165152346.89731,"Iran, Islamic Rep.",79370580.0,12476.864684520002,657.2353679020275,5.267632410227682
IRQ,2012,Natural Gas,2107851203.184392,Iraq,33654842.0,13308.140151948057,62.631439576640766,0.470625037469813
