month,operator,cbd_share_of_city,buffer_share_of_manhattan,airport_share_of_city,outer_borough_share
2024-05-01,uber,0.2540386867955987,0.09147428589356178,0.0402745097107884,0.566914453878914
2024-06-01,uber,0.24847102094079299,0.08832945056376916,0.038621070945180955,0.5806931748911528
2024-07-01,uber,0.2493377913443194,0.08615663217481061,0.039905248244560744,0.5784891412534106
2024-08-01,uber,0.24210460614004978,0.08463516481015827,0.040186738311325146,0.5870562335546499
2024-09-01,uber,0.2545583390869775,0.08654691515658779,0.03964537088460966,0.5723483067233259
2024-10-01,uber,0.2519108755878351,0.08992976805126128,0.03893954734788722,0.5716585259595666
2024-11-01,uber,0.24584597041908374,0.0899308418709282,0.03501900251606748,0.5815596585921822
2024-12-01,uber,0.2364808357572329,0.0912232645744684,0.03512067765723641,0.5933602256854922
2025-01-01,uber,0.2346215401772743,0.09055887012239815,0.036721241819944,0.5925546305056362
2025-02-01,uber,0.24322055301112203,0.08995121072904638,0.0347752235703709,0.5888296832076515
2025-03-01,uber,0.23643753557984915,0.08817794800095527,0.03622607003450967,0.5969544848689033
2025-04-01,uber,0.23784331170448503,0.09119882872092525,0.03807271678651794,0.5891568707058153
2025-05-01,uber,0.23094105889761116,0.09312347967603438,0.038501480226934094,0.6008912521485401
2025-06-01,uber,0.23007527219859966,0.09238120367120274,0.03981374439061297,0.6065578592356197
2025-07-01,uber,0.2299092061592207,0.08825320158710334,0.038786567685484864,0.6090293366209578
2025-08-01,uber,0.22695072328691904,0.08544626772183897,0.040728485999870154,0.6086395767914384
2025-09-01,uber,0.25372876343631867,0.09041574168919947,0.038408069975832265,0.57615029567603
2025-10-01,uber,0.24659739181605425,0.09117835632143313,0.03596568742140675,0.5844390690047896
2025-11-01,uber,0.23763030324267198,0.09157515567753012,0.033543547383155396,0.5957943325261449
2025-12-01,uber,0.22385854173259473,0.09359013577553604,0.032385949009856016,0.614150630962851
2026-01-01,uber,0.2177264916451553,0.09046692699448712,0.03402065508718866,0.6220080341029652
2026-02-01,uber,0.22291504944955043,0.09159523933736494,0.03174893903989796,0.6189178798023256
2026-03-01,uber,0.22222179181886806,0.09140840643106722,0.03309036092111927,0.6164968662956563
2026-04-01,uber,0.23428886821195655,0.09136392402160853,0.036623236681243884,0.5958328166081074
2018-01-01,lyft,0.2841088111317504,0.08134000460606827,0.0364049952052283,0.541412973781591
2018-02-01,lyft,0.2866538638563969,0.07887979469509777,0.03255035154824067,0.5414639643214246
2018-03-01,lyft,0.26271836617132055,0.07935341017495033,0.03804392662281497,0.5678220398885033
2018-04-01,lyft,0.27248682080942166,0.07916197830861156,0.03867712517723223,0.5530918134057184
2018-05-01,lyft,0.2648922486087009,0.08006217683254954,0.04568197645907014,0.5529265924112241
2018-06-01,lyft,0.2672272390128292,0.0786789329054942,0.04562462764352674,0.5555455110827445
2018-07-01,lyft,0.28223947103557634,0.07940816618380005,0.04626377935123054,0.5387176448509691
2018-08-01,lyft,0.2840396831575309,0.07821598117628738,0.04740870949099755,0.5357360663789892
2018-09-01,lyft,0.2913245135449152,0.07831761716928971,0.04508039374697655,0.529355193824518
2018-10-01,lyft,0.29272250670023503,0.08237777272806726,0.043300246942955305,0.5262746316957384
2018-11-01,lyft,0.28049660517671,0.08162552518310785,0.04403170389270374,0.5390663421061586
2018-12-01,lyft,0.2783367919413583,0.08045205009920456,0.03706680297151364,0.5495192789779516
2019-01-01,lyft,0.28489968890932604,0.08057185852481878,0.03828466199922713,0.5408010207055562
2019-02-01,lyft,0.2875629193782854,0.07869475853083321,0.03432786366831387,0.544275898055551
2019-03-01,lyft,0.2732658029594306,0.07816727132433922,0.037228811458195905,0.5574761324764671
2019-04-01,lyft,0.2704446529530267,0.07864942675203009,0.03978106443760497,0.5539832364373323
2019-05-01,lyft,0.26834047751793866,0.08024504783880693,0.04150634448366254,0.5514798109713781
2019-06-01,lyft,0.2624563744641703,0.07895718589417017,0.0423846250444965,0.5594586031323538
2019-07-01,lyft,0.2699249291914535,0.07641284328517939,0.046612455610763284,0.5500351617964896
2019-08-01,lyft,0.27243418921430657,0.0755860407885436,0.0479764212315127,0.5463306869175009
2019-09-01,lyft,0.2825234317612313,0.07914121590959601,0.045782023262729635,0.5354736931866633
2019-10-01,lyft,0.28850465672184633,0.08472279462186204,0.04228194773694875,0.5237163931956204
2019-11-01,lyft,0.30023075061956145,0.08440656136275781,0.0397811507030686,0.5094947680939782
2019-12-01,lyft,0.2880144644618984,0.08726866168304717,0.04126686428688119,0.5213621497933294
2020-01-01,lyft,0.3212477733473941,0.08602757194733313,0.04071225629840817,0.48495433895387263
2020-02-01,lyft,0.3441882704223814,0.08409656436570272,0.03651765390496311,0.46382183168134467
2020-03-01,lyft,0.2697782997827356,0.08563394013474775,0.030287756782887164,0.5436706433897093
2020-04-01,lyft,0.09167669790952095,0.10520051043569333,0.004919594612852136,0.7512266299643756
2020-05-01,lyft,0.09926114963026735,0.11061068013930829,0.005921256937291497,0.741760880594032
2020-06-01,lyft,0.11399726279891755,0.08693953991447256,0.011071771276301982,0.7304361745457558
2020-07-01,lyft,0.13642380896790066,0.08419413203258068,0.012043031121351022,0.7109966218572663
2020-08-01,lyft,0.16452667700145673,0.08130640543018403,0.011848005878885608,0.6776606891071832
2020-09-01,lyft,0.19108592720974973,0.08298734682435226,0.013084798222292766,0.6501694121201027
2020-10-01,lyft,0.22287326903591398,0.08538549039941798,0.012650129470484483,0.6138939467857545
2020-11-01,lyft,0.20389413568931597,0.08738187932956809,0.013390206182905356,0.6334770322673923
2020-12-01,lyft,0.1793335719363293,0.0894962168172118,0.014072738728070104,0.6583879123942161
2021-01-01,lyft,0.18016025261852212,0.08602348138800399,0.01678084808107208,0.6534486354480185
