iter,feature,short,coef
17,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
17,Share of investment in GDP,Investment Share,0.0
17,Domestic credit to private sector (% of GDP),Domestic Credit,0.04953519037463881
17,Landlocked,Landlocked,-0.0
17,Urban population (% of total population),Urban Population,0.0
17,Government revenue,Gov Revenue,-0.0
17,Capital depreciation rate,Depreciation,-0.0
17,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
17,Real interest rate (%),Real Rate,-0.0
17,"Inflation, consumer prices (annual %)",Inflation,0.0
17,Access to electricity (% of population),Electricity,0.02035501254678414
17,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
17,L1_ECI,Lagged ECI,0.6363302224869942
17,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
17,HCI_x_ProductionValue,HC × Production,0.0
17,GFCF_x_ProductionValue,GFCF × Production,-0.0
18,Total_Production_Value_Per_Capita,Production Value,0.0
18,Human capital index,Human Capital,0.0
18,Rule of law index,Rule of Law,0.0
18,Political stability — estimate,Political Stability,0.0
18,Trade (% of GDP),Trade,0.0
18,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
18,Share of investment in GDP,Investment Share,0.0
18,Domestic credit to private sector (% of GDP),Domestic Credit,0.01358995759714748
18,Landlocked,Landlocked,-0.0
18,Urban population (% of total population),Urban Population,0.016641120103450594
18,Government revenue,Gov Revenue,-0.0
18,Capital depreciation rate,Depreciation,-0.0
18,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
18,Real interest rate (%),Real Rate,0.0
18,"Inflation, consumer prices (annual %)",Inflation,-0.0
18,Access to electricity (% of population),Electricity,0.02621936099572343
18,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
18,L1_ECI,Lagged ECI,0.7437184681627864
18,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
18,HCI_x_ProductionValue,HC × Production,-0.0
18,GFCF_x_ProductionValue,GFCF × Production,-0.0
19,Total_Production_Value_Per_Capita,Production Value,0.0
19,Human capital index,Human Capital,0.023251923536512887
19,Rule of law index,Rule of Law,0.0
19,Political stability — estimate,Political Stability,0.0
19,Trade (% of GDP),Trade,0.0
19,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
19,Share of investment in GDP,Investment Share,0.0019407139884234524
19,Domestic credit to private sector (% of GDP),Domestic Credit,0.0027921926353539927
19,Landlocked,Landlocked,-0.005737652646775126
19,Urban population (% of total population),Urban Population,0.021224979451500953
19,Government revenue,Gov Revenue,0.0
19,Capital depreciation rate,Depreciation,-0.0
19,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.006815532870123622
19,Real interest rate (%),Real Rate,0.006767805244496034
19,"Inflation, consumer prices (annual %)",Inflation,-0.0011494325149781033
19,Access to electricity (% of population),Electricity,0.04245520603336736
19,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
19,L1_ECI,Lagged ECI,0.6889745554971797
19,Forestry rents (% of GDP),Forestry rents (% GDP),0.0037677193338532854
