period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2000,CPV,Cabo Verde,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",87.0
1995,CRI,Costa Rica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1157204.0
1996,CRI,Costa Rica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1646674.0
1997,CRI,Costa Rica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4621199.0
1998,CRI,Costa Rica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",6840812.0
1999,CRI,Costa Rica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7913166.0
2000,CRI,Costa Rica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",13169228.0
1999,CUB,Cuba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",36713585.0
2000,CUB,Cuba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",24131852.0
1995,CYP,Cyprus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",20457792.0
1996,CYP,Cyprus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",23196950.0
1997,CYP,Cyprus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",30244958.0
1998,CYP,Cyprus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",24570556.0
1999,CYP,Cyprus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",21661324.0
2000,CYP,Cyprus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",23111578.0
1995,CZE,Czechia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",175774816.0
1996,CZE,Czechia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",310516096.0
1998,CZE,Czechia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",139655136.0
1999,CZE,Czechia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",137599993.0
2000,CZE,Czechia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",126074133.0
1995,DEU,Germany,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1270818944.0
1996,DEU,Germany,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1217687168.0
1997,DEU,Germany,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1144972416.0
1998,DEU,Germany,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1141962112.0
1999,DEU,Germany,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1136389120.0
2000,DEU,Germany,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",994522000.0
1995,DMA,Dominica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",570311.0
1996,DMA,Dominica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",834561.0
1997,DMA,Dominica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",943000.0
1999,DMA,Dominica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1475631.0
2000,DMA,Dominica,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2153743.0
1995,DNK,Denmark,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",143799152.0
1996,DNK,Denmark,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",143423904.0
1998,DNK,Denmark,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",150472512.0
1999,DNK,Denmark,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",154206224.0
2000,DNK,Denmark,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",149565542.0
1996,DOM,Dominican Rep.,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3270591.0
1997,DOM,Dominican Rep.,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2380579.0
1995,DZA,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",17258600.0
1996,DZA,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",23840992.0
1997,DZA,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",26401520.0
1998,DZA,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",29963048.0
1999,DZA,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",30122554.0
2000,DZA,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",23833773.0
1995,ECU,Ecuador,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1855216.0
1996,ECU,Ecuador,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2568539.0
1998,ECU,Ecuador,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2634920.0
1999,ECU,Ecuador,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1446470.0
2000,ECU,Ecuador,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1841470.0
1995,EGY,Egypt,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",19647228.0
1996,EGY,Egypt,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",23873796.0
1997,EGY,Egypt,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",39166288.0
1998,EGY,Egypt,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",37516888.0
1999,EGY,Egypt,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",32064932.0
2000,EGY,Egypt,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",44317547.065
1995,ESP,Spain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",523372064.0
1996,ESP,Spain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",633360512.0
1997,ESP,Spain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",724084992.0
1998,ESP,Spain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",653639936.0
1999,ESP,Spain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",637428164.0
2000,ESP,Spain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",604803348.231
1995,EST,Estonia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",17813904.0
1996,EST,Estonia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",16494208.0
1997,EST,Estonia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",21860860.0
1998,EST,Estonia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",18519792.0
1999,EST,Estonia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",17408075.0
2000,EST,Estonia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",14287202.0
1995,ETH,Ethiopia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",60379.0
1997,ETH,Ethiopia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2065.0
1999,ETH,Ethiopia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",8507.0
2000,ETH,Ethiopia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",97348.178
1995,FIN,Finland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",99607872.0
1996,FIN,Finland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",98096352.0
1997,FIN,Finland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",99104456.0
1998,FIN,Finland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",95414640.0
1999,FIN,Finland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",100155221.0
2000,FIN,Finland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",86927949.0
2000,FJI,Fiji,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2471072.0
1995,FRA,France,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",964914624.0
1996,FRA,France,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",917452864.0
1997,FRA,France,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",844920832.0
1998,FRA,France,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",836592192.0
1999,FRA,France,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",783168896.0
2000,FRA,France,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",723151829.0
1996,GAB,Gabon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",605047.0
1997,GAB,Gabon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",268078.0
1998,GAB,Gabon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",172944.0
1999,GAB,Gabon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",222545.0
2000,GAB,Gabon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",197099.0
1995,GBR,United Kingdom,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",749309120.0
1996,GBR,United Kingdom,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",759778816.0
1997,GBR,United Kingdom,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",795257216.0
1998,GBR,United Kingdom,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",798119936.0
1999,GBR,United Kingdom,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",740459719.0
2000,GBR,United Kingdom,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",684652849.0
1996,GEO,Georgia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",974595.0
1997,GEO,Georgia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1842074.0
1998,GEO,Georgia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2013165.0
1999,GEO,Georgia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1720047.0
2000,GEO,Georgia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1371610.0
1996,GHA,Ghana,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5423752.0
